Title,Time Period,Composer,VocalRange,Class,Key,Highest Note,Lowest Note,Runtime of Song,Language,Genre,Assignee Name,
Lilacs,1893 (Romantic),Rachmaninoff,Mezzo Soprano,B,Ab,,,,English,,,
American Lullaby (Mezzo Soprano),1932 (Modern),Rich,Mezzo Soprano,B,F,,,2:19,English,,,
O cessate di piagarmi (Mezzo Soprano),1683 (Baroque),Scarlatti,Mezzo Soprano,B,Gm,F5,F#4,1:15,Italian,,Emma,
Orpheus With His Lute,1800s (Romantic),Schumann,Mezzo Soprano,B,Dm,,,,English,,,
Simple Gifts (Hayes),1900s (Modern),Shaker-Hayes,Mezzo Soprano,B,G,G5,D4,2:20,English,Folk,Shanaya,
When a Merry Maiden Marries,1889 (Romantic),Sullivan,Mezzo Soprano,B,F,,,,English,,,
Domine Deus (Soprano),1715 (Baroque),Vivaldi,Soprano,A,C,F5,F4,3:26,Latin,Classical/Sacred,Emma,
Have You Seen But A White Lily Grow?,1600s (Baroque),Anonymous,Mezzo Soprano,C,F,,,,English,,,
Wiegenlied (Mezzo Soprano),1868 (Romantic),Brahms,Mezzo Soprano,C,Eb,,,,English?,,,
Couldn't Hear Nobody Pray (High),1922 (Modern),Burleigh,Mezzo Soprano,C,F,N/A,N/A,2:58,English,Spiritual,Mae,No Music
The Lamb,1940s (Modern),Chanler,Mezzo Soprano,C,Fm,Db5,Db4,N/A,English,Hymnal,Mae,No tracks
Asturiana (Mezzo Soprano),1914 (Modern),de Falla,Mezzo Soprano,C,Am,E5,G4,N/A,Spanish,Folk,Mae,No tracks
Across the Western Ocean (Mezzo),1900s (Modern),Dougherty,Mezzo Soprano,C,D,N/A,N/A,N/A,English,,Mae,No tracks & No Music
Ol' Jim,1900s (Modern),Clara Edwards,Mezzo Soprano,C,F,N/A,N/A,N/A,English,Classical,Mae,No tracks & No Music
For Music,1800s (Romantic),Franz,Mezzo Soprano,C,C,,,N/A,English,,Mae,No tracks
A Swan,1870 (Romantic),Grieg,Mezzo Soprano,C,Eb,Eb5,C4,1:44,English,Art / Romance,Mae,
The First Primrose,1870 (Romantic),Grieg,Mezzo Soprano,C,Eb,N/A,N/A,N/A,English,,Mae,No tracks & No Music
Where E'er You Walk (Mezzo Soprano),1744 (Baroque),Handel,Mezzo Soprano,C,G,E5,D4,N/A,English,Baroque,Mae,No tracks
O Rest in the Lord (Mezzo Soprano),1846 (Romantic),Mendelssohn,Mezzo Soprano,C,C,D5,C4,N/A,English,Classical,Mae,No tracks
Ribbon Bow,1900s (Modern),Niles,Mezzo Soprano,C,Em,D5,E4,N/A,English,Folk,Andy,No tracks
The Black Dress,1900s (Modern),Niles,Mezzo Soprano,C,E,E5,D#4,N/A,English,Folk Ballad,Andy,No tracks
Drink to Me Only with Thine Eyes (Mezzo Soprano),1700s (Classical),Old English,Mezzo Soprano,C,Eb,Highest,Lowest,N/A,English,,Andy,No tracks
When Love Is Kind (Mezzo Soprano),1800s (Romantic),Old English,Mezzo Soprano,C,F,Highest,Lowest,N/A,English,,Andy,No tracks
Weep you no more (Mezzo Soprano),1900s (Modern),Quilter,Mezzo Soprano,C,Fm,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Think On Me (Mezzo Soprano),1800s (Romantic),Scott,Mezzo Soprano,C,Eb,Highest,Lowest,N/A,English,,Andy,No tracks
I Know Where I'm Goin',1900s (Modern),Zaninelli,Mezzo Soprano,C,F,N/A,N/A,N/A,English,,Andy,No tracks & No Music
Bist Du Bei Mir,1725 (Baroque),Bach,Alto,B,Bb,,,N/A,German,,Andy,No tracks
The Crucifixion,1953 (Modern),Barber,Alto,A,Am,,,N/A,English,,Andy,No tracks
The Ash Grove (Britten),1943 (Modern),Britten,Alto,A,F,N/A,N/A,N/A,English,,Andy,No tracks & No Music
The Cradle (French only),1879 (Romantic),Faure,Alto,A,Am,,,,French,,,
Eye Hath Not Seen,1800s (Romantic),Gaul,Alto,A,G,,,,English,,,
"Pur dicesti, o bocca bella",1710 (Baroque),Lotti,Alto,A,C,,,,Italian,,,
Il mio bel foco (Alto),1700 (Baroque),Marcello,Alto,A,Em,,,,Italian,,,
Song to the Dark Virgin,1941 (Modern),Price,Alto,A,Fm,,,,English,,,
I Attempt From Love's Sickness (Alto),1695 (Baroque),Purcell,Alto,A,F,,,,English,,,
Le Violette (Alto),1694 (Baroque),Scarlatti,Alto,A,Eb,,,,French,,,
Se Florinda e fedele (Alto),1694 (Baroque),Scarlatti,Alto,A,F,C4,C5,2:18,Italian,Classical/Baroque,Emma,
Connais-Tu le Pays?,1866 (Romantic),Thomas,Alto,A,Db,,,,French,,,
Love Has Eyes (Alto),1814 (Romantic),Bishop,Alto,B,F,,,,English,,,
